time	Roll (degrees)	Yaw (degrees)	Pitch (degrees)	X	Y	Z
0.000000	0.000000	0.000000	0.000000	0.000000	-0.000002	0.000000
0.050000	0.000000	0.000000	-0.030240	0.000000	-0.000006	0.000000
0.100000	0.000000	0.000000	-0.030240	0.000000	-0.000005	0.000000
0.150000	0.000000	0.000000	-0.077783	0.000000	-0.000003	0.000000
0.200000	0.000000	0.000000	-0.118150	0.000000	-0.000001	0.000000
0.250000	-0.036128	0.000000	-0.118150	0.000000	-0.000002	0.000000
0.300000	-0.036128	0.000000	-0.154673	0.000000	0.000002	0.000000
0.350000	-0.036128	0.000000	-0.154673	0.000000	0.000003	0.000000
0.400000	-0.036128	0.000000	-0.154673	0.000000	0.000006	0.000000
0.450000	-0.036128	0.000000	-0.154673	0.000000	0.000008	0.000000
0.500000	0.016762	0.034264	-0.154673	0.000000	0.000014	0.000000
0.550000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
0.600000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
0.650000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
0.700000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
0.750000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
0.800000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
0.850000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
0.900000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
0.950000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
1.000000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
1.050000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
1.100000	0.016762	0.034264	-0.154673	0.000000	0.000016	0.000000
1.150000	0.016762	0.034264	-0.154673	0.000000	0.000001	0.000000
1.200000	0.016762	0.034264	-0.154673	0.000000	-0.000030	0.000000
1.250000	0.016762	0.034264	-0.154673	0.000000	-0.000073	0.000000
1.300000	0.016762	0.034264	-0.154673	0.000000	-0.000128	0.000000
1.350000	0.016762	0.034264	-0.154673	0.000000	-0.000193	0.000000
1.400000	0.016762	0.034264	-0.154673	0.000000	-0.000259	0.000000
1.450000	0.016762	0.034264	-0.154673	0.000000	-0.000331	0.000000
1.500000	0.016762	0.034264	-0.154673	0.000000	-0.000402	0.000000
1.550000	0.016762	0.034264	-0.154673	0.000000	-0.000469	0.000000
1.600000	0.016762	0.034264	-0.154673	0.000000	-0.000529	0.000000
1.650000	0.016762	0.034264	-0.154673	0.000000	-0.000600	0.000000
1.700000	0.016762	0.034264	-0.154673	0.000027	-0.000671	0.000000
1.750000	0.016762	0.034264	-0.154673	0.000041	-0.000742	0.000000
1.800000	0.016762	0.034264	-0.154673	0.000060	-0.000795	0.000000
1.850000	0.016762	0.034264	-0.154673	0.000080	-0.000833	0.000000
1.900000	0.016762	0.034264	-0.154673	0.000107	-0.000861	0.000000
1.950000	0.016762	0.034264	-0.154673	0.000133	-0.000873	0.000000
2.000000	0.016762	0.034264	-0.154673	0.000155	-0.000868	0.000000
2.050000	0.016762	0.034264	-0.154673	0.000178	-0.000851	0.000000
2.100000	0.016762	0.034264	-0.154673	0.000200	-0.000822	0.000000
2.150000	0.016762	0.034264	-0.154673	0.000224	-0.000779	0.000000
2.200000	0.016762	0.034264	-0.154673	0.000242	-0.000730	0.000000
2.250000	0.016762	0.034264	-0.154673	0.000265	-0.000675	0.000000
2.300000	0.016762	0.034264	-0.154673	0.000282	-0.000595	0.000000
2.350000	0.016762	0.034264	-0.154673	0.000300	-0.000504	0.000000
2.400000	0.016762	0.034264	-0.154673	0.000330	-0.000405	0.000000
2.450000	0.016762	0.034264	-0.154673	0.000357	-0.000312	0.000000
2.500000	0.016762	0.034264	-0.154673	0.000382	-0.000219	0.000000
2.550000	0.016762	0.034264	-0.154673	0.000399	-0.000119	0.000000
2.600000	0.016762	0.034264	-0.154673	0.000423	-0.000021	0.000000
2.650000	0.016762	0.034264	-0.154673	0.000454	0.000071	0.000000
2.700000	0.016762	0.034264	-0.154673	0.000482	0.000151	0.000000
2.750000	0.016762	0.034264	-0.154673	0.000513	0.000227	0.000000
2.800000	0.016762	0.034264	-0.154673	0.000539	0.000288	0.000000
2.850000	0.016762	0.034264	-0.154673	0.000565	0.000340	0.000000
2.900000	0.016762	0.034264	-0.154673	0.000590	0.000380	0.000000
2.950000	0.016762	0.034264	-0.154673	0.000611	0.000406	0.000000
3.000000	0.016762	0.034264	-0.154673	0.000632	0.000422	0.000000
3.050000	0.016762	0.034264	-0.154673	0.000652	0.000434	0.000000
3.100000	0.016762	0.034264	-0.154673	0.000672	0.000443	0.000000
3.150000	0.016762	0.034264	-0.154673	0.000692	0.000455	0.000000
3.200000	0.016762	0.034264	-0.154673	0.000712	0.000461	0.000000
3.250000	0.016762	0.034264	-0.154673	0.000730	0.000466	0.000000
3.300000	0.016762	0.034264	-0.154673	0.000748	0.000472	0.000000
3.350000	0.016762	0.034264	-0.154673	0.000766	0.000478	0.000000
3.400000	0.016762	0.034264	-0.154673	0.000766	0.000483	0.000000
3.450000	0.016762	0.034264	-0.154673	0.000766	0.000488	0.000000
3.500000	0.016762	0.034264	-0.154673	0.000766	0.000493	0.000000
3.550000	0.016762	0.034264	-0.154673	0.000766	0.000499	0.000000
3.600000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
3.650000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
3.700000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
3.750000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
3.800000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
3.850000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
3.900000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
3.950000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.000000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.050000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.100000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.150000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.200000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.250000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.300000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.350000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.400000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.450000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.500000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.550000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.600000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.650000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.700000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.750000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.800000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.850000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.900000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
4.950000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.000000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.050000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.100000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.150000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.200000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.250000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.300000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.350000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.400000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.450000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.500000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.550000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.600000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.650000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.700000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.750000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.800000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.850000	0.016762	0.034264	-0.154673	0.000766	0.000505	0.000000
5.900000	0.016762	0.034264	-0.154673	0.000766	0.000534	0.000000
5.950000	0.016762	0.034264	-0.154673	0.000766	0.000585	0.000000
6.000000	0.016762	0.034264	-0.154673	0.000769	0.000645	0.000000
6.050000	0.016762	0.034264	-0.154673	0.000763	0.000711	0.000000
6.100000	0.016762	0.034264	-0.154673	0.000767	0.000791	0.000000
6.150000	0.016762	0.034264	-0.154673	0.000773	0.000875	0.000000
6.200000	0.016762	0.034264	-0.154673	0.000785	0.000968	0.000000
6.250000	0.016762	0.034264	-0.154673	0.000786	0.001070	0.000000
6.300000	0.016762	0.034264	-0.154673	0.000784	0.001185	0.000000
6.350000	0.016762	0.034264	-0.154673	0.000780	0.001299	0.000000
6.400000	0.016762	0.034264	-0.154673	0.000767	0.001412	0.000000
6.450000	0.016762	0.034264	-0.154673	0.000754	0.001518	0.000000
6.500000	0.016762	0.034264	-0.154673	0.000747	0.001619	0.000000
6.550000	0.016762	0.034264	-0.154673	0.000743	0.001699	0.000000
6.600000	0.016762	0.034264	-0.154673	0.000744	0.001765	0.000000
6.650000	0.016762	0.034264	-0.154673	0.000753	0.001819	0.000000
6.700000	0.016762	0.034264	-0.154673	0.000768	0.001864	0.000000
6.750000	0.016762	0.034264	-0.154673	0.000773	0.001892	0.000000
6.800000	0.016762	0.034264	-0.154673	0.000777	0.001913	0.000000
6.850000	0.016762	0.034264	-0.154673	0.000776	0.001924	0.000000
6.900000	0.016762	0.034264	-0.154673	0.000781	0.001908	0.000000
6.950000	0.016762	0.034264	-0.154673	0.000788	0.001851	0.000000
7.000000	0.016762	0.034264	-0.154673	0.000799	0.001776	0.000000
7.050000	0.016762	0.034264	-0.154673	0.000821	0.001699	0.000000
7.100000	0.016762	0.034264	-0.154673	0.000844	0.001629	0.000000
7.150000	0.016762	0.034264	-0.154673	0.000859	0.001557	0.000000
7.200000	0.016762	0.034264	-0.154673	0.000873	0.001488	0.000000
7.250000	0.016762	0.034264	-0.154673	0.000886	0.001412	0.000000
7.300000	0.016762	0.034264	-0.154673	0.000898	0.001340	0.000000
7.350000	0.016762	0.034264	-0.154673	0.000912	0.001270	0.000000
7.400000	0.016762	0.034264	-0.154673	0.000926	0.001204	0.000000
7.450000	0.016762	0.034264	-0.154673	0.000938	0.001139	0.000000
7.500000	0.016762	0.034264	-0.154673	0.000947	0.001078	0.000000
7.550000	0.016762	0.034264	-0.154673	0.000962	0.001034	0.000000
7.600000	0.016762	0.034264	-0.154673	0.000977	0.001019	0.000000
7.650000	0.016762	0.034264	-0.154673	0.000990	0.001021	0.000000
7.700000	0.016762	0.034264	-0.154673	0.000990	0.001028	0.000000
7.750000	0.016762	0.034264	-0.154673	0.000990	0.001035	0.000000
7.800000	0.016762	0.034264	-0.154673	0.000990	0.001041	0.000000
7.850000	0.016762	0.034264	-0.154673	0.000990	0.001048	0.000000
7.900000	0.016762	0.034264	-0.154673	0.000990	0.001055	0.000000
7.950000	0.016762	0.034264	-0.154673	0.000990	0.001061	0.000000
8.000000	0.016762	0.034264	-0.154673	0.000990	0.001068	0.000000
8.050000	0.016762	0.034264	-0.154673	0.000990	0.001075	0.000000
8.100000	0.016762	0.034264	-0.154673	0.000990	0.001081	0.000000
8.150000	0.016762	0.034264	-0.154673	0.000990	0.001087	0.000000
8.200000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.250000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.300000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.350000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.400000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.450000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.500000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.550000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.600000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.650000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.700000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.750000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.800000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.850000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.900000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
8.950000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.000000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.050000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.100000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.150000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.200000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.250000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.300000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.350000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.400000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.450000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.500000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.550000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.600000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.650000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.700000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.750000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.800000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.850000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.900000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
9.950000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.000000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.050000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.100000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.150000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.200000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.250000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.300000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.350000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.400000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.450000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.500000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.550000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.600000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.650000	0.016762	0.034264	-0.154673	0.000990	0.001094	0.000000
10.700000	0.016762	0.034264	-0.154673	0.000984	0.001094	0.000000
10.750000	0.016762	0.034264	-0.154673	0.000964	0.001094	0.000000
10.800000	0.016762	0.034264	-0.154673	0.000937	0.001094	0.000000
10.850000	0.016762	0.034264	-0.154673	0.000902	0.001094	0.000000
10.900000	0.016762	0.034264	-0.154673	0.000856	0.001094	0.000000
10.950000	0.016762	0.034264	-0.154673	0.000806	0.001094	0.000000
11.000000	0.016762	0.034264	-0.154673	0.000752	0.001094	0.000000
11.050000	0.016762	0.034264	-0.154673	0.000696	0.001094	0.000000
11.100000	0.016762	0.034264	-0.154673	0.000634	0.001094	0.000000
11.150000	0.016762	0.034264	-0.154673	0.000575	0.001094	0.000000
11.200000	0.016762	0.034264	-0.154673	0.000512	0.001094	0.000000
11.250000	0.016762	0.034264	-0.154673	0.000450	0.001094	0.000000
11.300000	0.016762	0.034264	-0.154673	0.000396	0.001094	0.000000
11.350000	0.016762	0.034264	-0.154673	0.000354	0.001110	0.000000
11.400000	0.016762	0.034264	-0.154673	0.000328	0.001110	0.000000
11.450000	0.016762	0.034264	-0.154673	0.000310	0.001110	0.000000
11.500000	0.016762	0.034264	-0.154673	0.000310	0.001110	0.000000
11.550000	0.016762	0.034264	-0.154673	0.000330	0.001110	0.000000
11.600000	0.016762	0.034264	-0.154673	0.000345	0.001110	0.000000
11.650000	0.016762	0.034264	-0.154673	0.000367	0.001110	0.000000
11.700000	0.016762	0.034264	-0.154673	0.000403	0.001113	0.000000
11.750000	0.016762	0.034264	-0.154673	0.000457	0.001122	0.000000
11.800000	0.016762	0.034264	-0.154673	0.000521	0.001128	0.000000
11.850000	0.016762	0.034264	-0.154673	0.000588	0.001135	0.000000
11.900000	0.016762	0.034264	-0.154673	0.000656	0.001135	0.000000
11.950000	0.016762	0.034264	-0.154673	0.000723	0.001135	0.000000
12.000000	0.016762	0.034264	-0.154673	0.000786	0.001135	0.000000
12.050000	0.016762	0.034264	-0.154673	0.000845	0.001135	0.000000
12.100000	0.016762	0.034264	-0.154673	0.000903	0.001135	0.000000
12.150000	0.016762	0.034264	-0.154673	0.000953	0.001135	0.000000
12.200000	0.016762	0.034264	-0.154673	0.000992	0.001135	0.000000
12.250000	0.016762	0.034264	-0.154673	0.001040	0.001135	0.000000
12.300000	0.016762	0.034264	-0.154673	0.001086	0.001135	0.000000
12.350000	0.016762	0.034264	-0.154673	0.001120	0.001135	0.000000
12.400000	0.016762	0.034264	-0.154673	0.001142	0.001135	0.000000
12.450000	0.016762	0.034264	-0.154673	0.001152	0.001135	0.000000
12.500000	0.016762	0.034264	-0.154673	0.001162	0.001135	0.000000
12.550000	0.016762	0.034264	-0.154673	0.001171	0.001135	0.000000
12.600000	0.016762	0.034264	-0.154673	0.001179	0.001135	0.000000
12.650000	0.016762	0.034264	-0.154673	0.001187	0.001135	0.000000
12.700000	0.016762	0.034264	-0.154673	0.001196	0.001135	0.000000
12.750000	0.016762	0.034264	-0.154673	0.001204	0.001135	0.000000
12.800000	0.016762	0.034264	-0.154673	0.001213	0.001135	0.000000
12.850000	0.016762	0.034264	-0.154673	0.001222	0.001135	0.000000
12.900000	0.016762	0.034264	-0.154673	0.001231	0.001135	0.000000
12.950000	0.016762	0.034264	-0.154673	0.001239	0.001135	0.000000
13.000000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.050000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.100000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.150000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.200000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.250000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.300000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.350000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.400000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.450000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.500000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.550000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.600000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.650000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.700000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.750000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.800000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.850000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.900000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
13.950000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.000000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.050000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.100000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.150000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.200000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.250000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.300000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.350000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.400000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.450000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.500000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.550000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.600000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.650000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.700000	0.016762	0.034264	-0.154673	0.001248	0.001135	0.000000
14.750000	0.016762	0.034264	-0.154673	0.001277	0.001135	0.000000
14.800000	0.016762	0.034264	-0.154673	0.001317	0.001135	0.000000
14.850000	0.016762	0.034264	-0.154673	0.001371	0.001135	0.000000
14.900000	0.016762	0.034264	-0.154673	0.001433	0.001135	0.000000
14.950000	0.016762	0.034264	-0.154673	0.001499	0.001135	0.000000
15.000000	0.016762	0.034264	-0.154673	0.001568	0.001135	0.000000
15.050000	0.016762	0.034264	-0.154673	0.001637	0.001135	0.000000
15.100000	0.016762	0.034264	-0.154673	0.001708	0.001135	0.000000
15.150000	0.016762	0.034264	-0.154673	0.001779	0.001135	0.000000
15.200000	0.016762	0.034264	-0.154673	0.001851	0.001130	0.000000
15.250000	0.016762	0.034264	-0.154673	0.001920	0.001126	0.000000
15.300000	0.016762	0.034264	-0.154673	0.001990	0.001120	0.000000
15.350000	0.016762	0.034264	-0.154673	0.002055	0.001115	0.000000
15.400000	0.016762	0.034264	-0.154673	0.002113	0.001109	0.000000
15.450000	0.016762	0.034264	-0.154673	0.002161	0.001104	0.000000
15.500000	0.016762	0.034264	-0.154673	0.002195	0.001099	0.000000
15.550000	0.016762	0.034264	-0.154673	0.002226	0.001092	0.000000
15.600000	0.016762	0.034264	-0.154673	0.002250	0.001077	0.000000
15.650000	0.016762	0.034264	-0.154673	0.002271	0.001077	0.000000
15.700000	0.016762	0.034264	-0.154673	0.002287	0.001077	0.000000
15.750000	0.016762	0.034264	-0.154673	0.002304	0.001077	0.000000
15.800000	0.016762	0.034264	-0.154673	0.002312	0.001077	0.000000
15.850000	0.016762	0.034264	-0.154673	0.002315	0.001077	0.000000
15.900000	0.016762	0.034264	-0.154673	0.002317	0.001077	0.000000
15.950000	0.016762	0.034264	-0.154673	0.002310	0.001077	0.000000
16.000000	0.016762	0.034264	-0.154673	0.002305	0.001075	0.000000
16.050000	0.016762	0.034264	-0.154673	0.002292	0.001074	0.000000
16.100000	0.016762	0.034264	-0.154673	0.002272	0.001067	0.000000
16.150000	0.016762	0.034264	-0.154673	0.002242	0.001062	0.000000
16.200000	0.016762	0.034264	-0.154673	0.002209	0.001058	0.000000
16.250000	0.016762	0.034264	-0.154673	0.002179	0.001058	0.000000
16.300000	0.016762	0.034264	-0.154673	0.002151	0.001058	0.000000
16.350000	0.016762	0.034264	-0.154673	0.002142	0.001058	0.000000
16.400000	0.016762	0.034264	-0.154673	0.002131	0.001058	0.000000
16.450000	0.016762	0.034264	-0.154673	0.002130	0.001058	0.000000
16.500000	0.016762	0.034264	-0.154673	0.002133	0.001058	0.000000
16.550000	0.016762	0.034264	-0.154673	0.002140	0.001058	0.000000
16.600000	0.016762	0.034264	-0.154673	0.002152	0.001058	0.000000
16.650000	0.016762	0.034264	-0.154673	0.002163	0.001058	0.000000
16.700000	0.016762	0.034264	-0.154673	0.002178	0.001058	0.000000
16.750000	0.016762	0.034264	-0.154673	0.002201	0.001058	0.000000
16.800000	0.016762	0.034264	-0.154673	0.002234	0.001058	0.000000
16.850000	0.016762	0.034264	-0.154673	0.002266	0.001058	0.000000
16.900000	0.016762	0.034264	-0.154673	0.002298	0.001058	0.000000
16.950000	0.016762	0.034264	-0.154673	0.002330	0.001058	0.000000
17.000000	0.016762	0.034264	-0.154673	0.002347	0.001058	0.000000
17.050000	0.016762	0.034264	-0.154673	0.002364	0.001064	0.000000
17.100000	0.016762	0.034264	-0.154673	0.002381	0.001069	0.000000
17.150000	0.016762	0.034264	-0.154673	0.002398	0.001074	0.000000
17.200000	0.016762	0.034264	-0.154673	0.002415	0.001078	0.000000
17.250000	0.016762	0.034264	-0.154673	0.002432	0.001083	0.000000
17.300000	0.016762	0.034264	-0.154673	0.002448	0.001089	0.000000
17.350000	0.016762	0.034264	-0.154673	0.002465	0.001094	0.000000
17.400000	0.016762	0.034264	-0.154673	0.002482	0.001099	0.000000
17.450000	0.016762	0.034264	-0.154673	0.002498	0.001104	0.000000
17.500000	0.016762	0.034264	-0.154673	0.002515	0.001110	0.000000
17.550000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
17.600000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
17.650000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
17.700000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
17.750000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
17.800000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
17.850000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
17.900000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
17.950000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.000000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.050000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.100000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.150000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.200000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.250000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.300000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.350000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.400000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.450000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.500000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.550000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.600000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.650000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.700000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.750000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.800000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.850000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.900000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
18.950000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
19.000000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
19.050000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
19.100000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
19.150000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
19.200000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
19.250000	0.016762	0.034264	-0.154673	0.002531	0.001110	0.000000
